Calc_Ramp_Ex_nm	Calc_Ramp_Rt_nm	Defl_V_Ex	Defl_V_Rt	
1.699219e+02	3.291016e+02	-6.228750e-01	-6.217500e-01	
1.708984e+02	3.281250e+02	-6.221250e-01	-6.221250e-01	
1.718750e+02	3.271484e+02	-6.243750e-01	-6.225000e-01	
1.728516e+02	3.261719e+02	-6.236250e-01	-6.232500e-01	
1.738281e+02	3.251953e+02	-6.255000e-01	-6.213750e-01	
1.748047e+02	3.242188e+02	-6.232500e-01	-6.217500e-01	
1.757813e+02	3.232422e+02	-6.232500e-01	-6.221250e-01	
1.767578e+02	3.222656e+02	-6.236250e-01	-6.228750e-01	
1.777344e+02	3.212891e+02	-6.232500e-01	-6.232500e-01	
1.787109e+02	3.203125e+02	-6.236250e-01	-6.240000e-01	
1.796875e+02	3.193359e+02	-6.243750e-01	-6.217500e-01	
1.806641e+02	3.183594e+02	-6.243750e-01	-6.213750e-01	
1.816406e+02	3.173828e+02	-6.243750e-01	-6.225000e-01	
1.826172e+02	3.164063e+02	-6.228750e-01	-6.202500e-01	
1.835938e+02	3.154297e+02	-6.243750e-01	-6.236250e-01	
1.845703e+02	3.144531e+02	-6.236250e-01	-6.210000e-01	
1.855469e+02	3.134766e+02	-6.236250e-01	-6.217500e-01	
1.865234e+02	3.125000e+02	-6.225000e-01	-6.210000e-01	
1.875000e+02	3.115234e+02	-6.236250e-01	-6.210000e-01	
1.884766e+02	3.105469e+02	-6.232500e-01	-6.206250e-01	
1.894531e+02	3.095703e+02	-6.228750e-01	-6.210000e-01	
1.904297e+02	3.085938e+02	-6.225000e-01	-6.225000e-01	
1.914063e+02	3.076172e+02	-6.240000e-01	-6.217500e-01	
1.923828e+02	3.066406e+02	-6.225000e-01	-6.236250e-01	
1.933594e+02	3.056641e+02	-6.228750e-01	-6.240000e-01	
1.943359e+02	3.046875e+02	-6.236250e-01	-6.240000e-01	
1.953125e+02	3.037109e+02	-6.236250e-01	-6.221250e-01	
1.962891e+02	3.027344e+02	-6.236250e-01	-6.213750e-01	
1.972656e+02	3.017578e+02	-6.251250e-01	-6.210000e-01	
1.982422e+02	3.007813e+02	-6.247500e-01	-6.221250e-01	
1.992188e+02	2.998047e+02	-6.255000e-01	-6.221250e-01	
2.001953e+02	2.988281e+02	-6.236250e-01	-6.213750e-01	
2.011719e+02	2.978516e+02	-6.243750e-01	-6.232500e-01	
2.021484e+02	2.968750e+02	-6.270000e-01	-6.198750e-01	
