approach_displacement	approach_deflection	retract_displacement	retract_deflection
15.25243	3.135455	15.37969	6.321645999999999
15.33356	2.932513	15.46082	6.2709090000000005
15.41469	3.003542	15.54195	6.118703
15.49582	2.87163	15.62308	6.159291
15.57695	2.831042	15.70421	6.088261999999999
15.65808	2.749865	15.78534	5.996938
15.73921	2.709276	15.86647	5.976644
15.82034	2.6382470000000002	15.9476	5.88532
15.90147	2.6078050000000004	16.02873	5.88532
15.9826	2.536776	16.10986	5.793996
16.06373	2.567217	16.19098	5.773701999999999
16.14486	2.425158	16.27211	5.712819
16.22599	2.313539	16.35324	5.6113480000000004
16.30712	2.343981	16.43437	5.591054000000001
16.38825	2.232363	16.5155	5.530171
16.46938	2.252657	16.59663	5.550465
16.55051	2.161333	16.67776	5.3779639999999995
16.63164	2.151186	16.75889	5.306934999999999
16.71277	2.080156	16.84002	5.306934999999999
16.7939	2.080156	16.92115	5.327229
16.87502	2.049715	17.00228	5.246052
16.95615	1.958391	17.0834	5.11414
17.03728	1.978685	17.16453	5.0431099999999995
17.11841	1.8873609999999998	17.24566	5.012669
17.19954	1.897508	17.32679	4.931492
17.28067	1.7757429999999998	17.40792	4.901051
17.3618	1.674272	17.48905	4.840168
17.44293	1.613389	17.57018	4.779286
17.52406	1.623537	17.65131	4.769138
17.60519	1.532213	17.73244	4.708256
17.68632	1.5525069999999999	17.81357	4.698109
17.76744	1.4408889999999999	17.8947	4.616932
17.84857	1.369859	17.97582	4.515461
17.9297	1.3191229999999998	18.05695	4.495167
18.01083	1.3191229999999998	18.13808	4.4748719999999995
18.09196	1.359712	18.21921	4.41399
18.17309	1.248094	18.30034	4.312519
18.25422	1.227799	18.38147	4.322666
18.33535	1.177064	18.4626	4.180606
18.41648	1.095887	18.54373	4.180606
18.49761	1.035005	18.62486	4.119724
18.57874	1.0654460000000001	18.70599	4.008106000000001
18.65986	0.9436806	18.78712	3.896487
18.74099	0.9132393000000001	18.86824	3.896487
18.82212	0.8320624999999999	18.94937	3.845752
18.90325	0.7305914	19.0305	3.815311
18.98438	0.7305914	19.11163	3.815311
19.06551	0.7001501	19.19276	3.764575
19.14664	0.6900029999999999	19.27389	3.673251
19.22777	0.6189733	19.35502	3.6123689999999997
19.3089	0.5783849	19.43615	3.5514859999999997
19.39003	0.5276493	19.51728	3.5210449999999995
19.47116	0.5276493	19.59841	3.470309
19.55228	0.5175023	19.67953	3.4601620000000004
19.63341	0.4058841	19.76066	3.358691
19.71454	0.3551486	19.84179	3.2978089999999995
19.79567	0.192795	19.92292	3.2673669999999997
19.8768	0.2029421	20.00405	3.2369260000000004
19.95793	0.1725007	20.08518	3.155749
20.03906	0	20.16631	3.023837
20.12019	0.04058841	20.24744	3.0136900000000004
20.20132	-0.0101471	20.32857	2.962954
20.28245	-0.060882620000000005	20.4097	2.9528070000000004
20.36357	-0.050735520000000006	20.49083	2.912219
20.4447	0	20.57195	2.7600119999999997
20.52583	-0.050735520000000006	20.65308	2.709276
20.60696	-0.1826479	20.73421	2.6788350000000003
20.68809	-0.192795	20.81534	2.587511
20.76922	-0.24353049999999998	20.89647	2.567217
20.85035	-0.2333834	20.9776	2.506335
20.93148	-0.3348544	21.05873	2.435305
21.01261	-0.38558990000000004	21.13986	2.354128
21.09374	-0.4566196	21.22099	2.343981
21.17487	-0.4769138	21.30212	2.303392
21.25599	-0.4972081	21.38325	2.313539
21.33712	-0.5783849	21.46437	2.212068
21.41825	-0.7001501	21.5455	2.201921
21.49938	-0.7711798000000001	21.62663	2.10045
21.58051	-0.6392675	21.70776	2.070009
21.66164	-0.6900029999999999	21.78889	2.0192740000000002
21.74277	-0.8219154000000001	21.87002	1.958391
21.8239	-0.8929451	21.95115	1.917802
21.90503	-0.8726508	22.03228	1.8569200000000001
21.98616	-0.9842690000000001	22.11341	1.7757429999999998
22.06729	-1.055299	22.19454	1.6844190000000001
22.14841	-1.0451519999999999	22.27567	1.643831
22.22954	-1.116181	22.35679	1.6336840000000001
22.310669999999998	-1.166917	22.43792	1.6032419999999998
22.3918	-1.197358	22.51905	1.5930950000000001
22.47293	-1.136476	22.60018	1.623537
22.55406	-1.278535	22.68131	1.54236
22.63519	-1.390153	22.76244	1.532213
22.71632	-1.4003	22.84357	1.501771
22.79745	-1.4003	22.9247	1.451036
22.87858	-1.4611830000000001	23.00583	1.369859
22.95971	-1.501771	23.08696	1.298829
23.04083	-1.5728010000000001	23.16809	1.248094
23.12196	-1.6032419999999998	23.24921	1.166917
23.20309	-1.623537	23.33034	1.177064
